,count,mean,std,min,25%,50%,75%,max
latitude,1502.0,7.07532458663032,0.026522339879735162,7.0190474551686055,7.053037060590126,7.073054752101488,7.095736978971196,7.14086252083978
longitude,1502.0,125.55052992158568,0.028130448513256877,125.49186879557426,125.52601508416237,125.55118318751936,125.57334003072918,125.61406082715942
building_density,1502.0,68.85752330226364,129.39185254742333,0.0,1.0,12.0,75.5,1280.0
road_distance,1502.0,107.73504577016193,111.03653225294055,1.2994264195063736,29.78803621881513,67.5065317762043,149.26718022475075,673.8561792251329
facility_distance,1502.0,977.3618951383884,679.2657833396286,6.569811427033954,506.3764202478369,836.0586729084596,1221.5857279599097,3960.2706044841943
shoreline_distance,1502.0,3807.5306466641778,2456.777605154063,5.425364111897423,1754.252567272349,3602.34800797974,5545.4569736378,10474.88318426248
flood_susceptibility,1502.0,0.28428761651131823,0.750575700764465,0.0,0.0,0.0,0.0,3.0
landslide_susceptibility,1502.0,0.2982689747003995,0.7283977558282905,0.0,0.0,0.0,0.0,3.0
storm_surge_susceptibility,1502.0,0.4613848202396804,1.0405695666479287,0.0,0.0,0.0,0.0,3.0
