Feature,Weight,MDI (F8),Permutation ΔMSE (F9),Permutation SD
building_density,0.4,0.4547218617662322,0.011444222920012074,0.0008181973807374867
road_accessibility,0.25,0.21340595335209167,0.0066792806659978065,0.0005129732520118165
facility_distance,0.15,0.14059493180318988,0.003892391117566537,9.117153931150633e-05
flood_susceptibility,0.08,0.0888253014280226,0.003230981725386636,0.0003787212769069592
landslide_susceptibility,0.07,0.056456790073452695,0.0012220861769901873,7.601674826503712e-05
storm_surge_susceptibility,0.05,0.045995161577010904,0.0010644498795823365,5.741875300807103e-05
