Feature,Specified weight (signed),OLS coefficient,Weight ÷ rescale span
building_density,0.4,0.8499013915471191,0.8499013915471195
road_accessibility,0.25,0.5311883697169497,0.5311883697169497
facility_distance,0.15,0.3187130218301697,0.3187130218301698
flood_susceptibility,-0.08,-0.169980278309424,-0.16998027830942392
landslide_susceptibility,-0.07,-0.14873274352074606,-0.14873274352074592
storm_surge_susceptibility,-0.05,-0.10623767394338984,-0.10623767394338994
